Time	R_planet	M_planet	separation	T_surf	T_magma	T_eqm	T_skin	F_int	F_atm	F_net	F_olr	F_sct	F_ins	gravity	Phi_global	RF_depth	M_core	M_mantle	M_mantle_solid	M_mantle_liquid	R_star	age_star	z_obs	rho_obs	transit_depth	contrast_ratio	esc_rate_total	M_atm	P_surf	atm_kg_per_mol	H2O_mol_atm	H2O_mol_solid	H2O_mol_liquid	H2O_mol_total	H2O_kg_atm	H2O_kg_solid	H2O_kg_liquid	H2O_kg_total	H2O_vmr	H2O_bar	CO2_mol_atm	CO2_mol_solid	CO2_mol_liquid	CO2_mol_total	CO2_kg_atm	CO2_kg_solid	CO2_kg_liquid	CO2_kg_total	CO2_vmr	CO2_bar	H2_mol_atm	H2_mol_solid	H2_mol_liquid	H2_mol_total	H2_kg_atm	H2_kg_solid	H2_kg_liquid	H2_kg_total	H2_vmr	H2_bar	CH4_mol_atm	CH4_mol_solid	CH4_mol_liquid	CH4_mol_total	CH4_kg_atm	CH4_kg_solid	CH4_kg_liquid	CH4_kg_total	CH4_vmr	CH4_bar	CO_mol_atm	CO_mol_solid	CO_mol_liquid	CO_mol_total	CO_kg_atm	CO_kg_solid	CO_kg_liquid	CO_kg_total	CO_vmr	CO_bar	N2_mol_atm	N2_mol_solid	N2_mol_liquid	N2_mol_total	N2_kg_atm	N2_kg_solid	N2_kg_liquid	N2_kg_total	N2_vmr	N2_bar	S2_mol_atm	S2_mol_solid	S2_mol_liquid	S2_mol_total	S2_kg_atm	S2_kg_solid	S2_kg_liquid	S2_kg_total	S2_vmr	S2_bar	SO2_mol_atm	SO2_mol_solid	SO2_mol_liquid	SO2_mol_total	SO2_kg_atm	SO2_kg_solid	SO2_kg_liquid	SO2_kg_total	SO2_vmr	SO2_bar	H_kg_atm	H_kg_solid	H_kg_liquid	H_kg_total	O_kg_atm	O_kg_solid	O_kg_liquid	O_kg_total	C_kg_atm	C_kg_solid	C_kg_liquid	C_kg_total	N_kg_atm	N_kg_solid	N_kg_liquid	N_kg_total	S_kg_atm	S_kg_solid	S_kg_liquid	S_kg_total	H/O_atm	H/C_atm	H/N_atm	H/S_atm	O/C_atm	O/N_atm	O/S_atm	C/N_atm	C/S_atm	N/S_atm
0.000000e+00	6.335439e+06	5.972000e+24	1.495979e+11	3.500000e+03	3.500000e+03	2.798065e+02	2.352883e+02	1.000000e+06	6.874005e+04	9.312599e+05	6.892543e+04	2.317178e+01	1.029863e+03	9.930493e+00	1.000000e+00	4.500000e-01	0.000000e+00	4.031100e+24	0.000000e+00	4.031100e+24	6.165788e+08	1.000000e+08	6.335439e+06	5.606619e+03	1.055787e-04	1.200739e-07	0.000000e+00	2.281381e+21	4.491701e+02	3.150660e-02	2.460501e+21	0.000000e+00	4.580711e+23	4.605316e+23	4.432661e+19	0.000000e+00	8.252278e+21	8.296605e+21	3.398030e-02	1.526293e+01	1.853395e+22	0.000000e+00	4.767830e+21	2.330178e+22	8.156791e+20	0.000000e+00	2.098322e+20	1.025511e+21	2.559597e-01	1.149695e+02	7.779717e+20	0.000000e+00	0.000000e+00	7.779717e+20	1.568298e+18	0.000000e+00	0.000000e+00	1.568298e+18	1.074404e-02	4.825900e+00	8.901197e+13	0.000000e+00	1.920216e+12	9.093219e+13	1.427752e+12	0.000000e+00	3.080027e+10	1.458552e+12	1.229284e-09	5.521575e-07	5.031918e+22	0.000000e+00	3.808068e+21	5.412724e+22	1.409440e+21	0.000000e+00	1.066640e+20	1.516104e+21	6.949238e-01	3.121390e+02	2.776018e+20	0.000000e+00	1.019001e+19	2.877918e+20	7.776737e+18	0.000000e+00	2.854628e+17	8.062200e+18	3.833769e-03	1.722015e+00	6.911332e+17	0.000000e+00	1.255731e+22	1.255801e+22	4.430164e+16	0.000000e+00	8.049238e+20	8.049681e+20	9.544770e-06	4.287225e-03	3.973853e+19	0.000000e+00	0.000000e+00	3.973853e+19	2.545888e+18	0.000000e+00	0.000000e+00	2.545888e+18	5.488017e-04	2.465053e-01	6.528761e+18	0.000000e+00	9.234712e+20	9.300000e+20	1.438743e+21	0.000000e+00	7.542165e+21	8.980908e+21	8.269949e+20	0.000000e+00	1.030051e+20	9.300000e+20	7.776737e+18	0.000000e+00	2.854628e+17	8.062200e+18	1.296175e+18	0.000000e+00	8.049238e+20	8.062200e+20	4.537823e-03	7.894560e-03	8.395244e-01	5.036945e+00	1.739724e+00	1.850060e+02	1.109991e+03	1.063421e+02	6.380273e+02	5.999759e+00
0.000000e+00	6.335439e+06	5.972000e+24	1.495979e+11	3.500000e+03	3.500000e+03	2.798065e+02	2.352883e+02	6.874005e+04	6.874005e+04	0.000000e+00	6.892543e+04	2.317178e+01	1.029863e+03	9.930493e+00	1.000000e+00	4.500000e-01	0.000000e+00	4.031100e+24	0.000000e+00	4.031100e+24	6.165788e+08	1.000000e+08	6.335439e+06	5.606619e+03	1.055787e-04	1.200739e-07	0.000000e+00	2.281381e+21	4.491701e+02	3.150660e-02	2.460501e+21	0.000000e+00	4.580711e+23	4.605316e+23	4.432661e+19	0.000000e+00	8.252278e+21	8.296605e+21	3.398030e-02	1.526293e+01	1.853395e+22	0.000000e+00	4.767830e+21	2.330178e+22	8.156791e+20	0.000000e+00	2.098322e+20	1.025511e+21	2.559597e-01	1.149695e+02	7.779717e+20	0.000000e+00	0.000000e+00	7.779717e+20	1.568298e+18	0.000000e+00	0.000000e+00	1.568298e+18	1.074404e-02	4.825900e+00	8.901197e+13	0.000000e+00	1.920216e+12	9.093219e+13	1.427752e+12	0.000000e+00	3.080027e+10	1.458552e+12	1.229284e-09	5.521575e-07	5.031918e+22	0.000000e+00	3.808068e+21	5.412724e+22	1.409440e+21	0.000000e+00	1.066640e+20	1.516104e+21	6.949238e-01	3.121390e+02	2.776018e+20	0.000000e+00	1.019001e+19	2.877918e+20	7.776737e+18	0.000000e+00	2.854628e+17	8.062200e+18	3.833769e-03	1.722015e+00	6.911332e+17	0.000000e+00	1.255731e+22	1.255801e+22	4.430164e+16	0.000000e+00	8.049238e+20	8.049681e+20	9.544770e-06	4.287225e-03	3.973853e+19	0.000000e+00	0.000000e+00	3.973853e+19	2.545888e+18	0.000000e+00	0.000000e+00	2.545888e+18	5.488017e-04	2.465053e-01	6.528761e+18	0.000000e+00	9.234712e+20	9.300000e+20	1.438743e+21	0.000000e+00	7.542165e+21	8.980908e+21	8.269949e+20	0.000000e+00	1.030051e+20	9.300000e+20	7.776737e+18	0.000000e+00	2.854628e+17	8.062200e+18	1.296175e+18	0.000000e+00	8.049238e+20	8.062200e+20	4.537823e-03	7.894560e-03	8.395244e-01	5.036945e+00	1.739724e+00	1.850060e+02	1.109991e+03	1.063421e+02	6.380273e+02	5.999759e+00
0.000000e+00	6.335439e+06	5.972000e+24	1.495979e+11	3.500000e+03	3.500000e+03	2.798065e+02	2.352883e+02	6.874005e+04	6.874005e+04	0.000000e+00	6.892543e+04	2.317178e+01	1.029863e+03	9.930493e+00	1.000000e+00	4.500000e-01	0.000000e+00	4.031100e+24	0.000000e+00	4.031100e+24	6.165788e+08	1.000000e+08	6.335439e+06	5.606619e+03	1.055787e-04	1.200739e-07	1.000000e+06	2.281381e+21	4.491701e+02	3.150660e-02	2.460501e+21	0.000000e+00	4.580711e+23	4.605316e+23	4.432661e+19	0.000000e+00	8.252278e+21	8.296605e+21	3.398030e-02	1.526293e+01	1.853395e+22	0.000000e+00	4.767830e+21	2.330178e+22	8.156791e+20	0.000000e+00	2.098322e+20	1.025511e+21	2.559597e-01	1.149695e+02	7.779717e+20	0.000000e+00	0.000000e+00	7.779717e+20	1.568298e+18	0.000000e+00	0.000000e+00	1.568298e+18	1.074404e-02	4.825900e+00	8.901197e+13	0.000000e+00	1.920216e+12	9.093219e+13	1.427752e+12	0.000000e+00	3.080027e+10	1.458552e+12	1.229284e-09	5.521575e-07	5.031918e+22	0.000000e+00	3.808068e+21	5.412724e+22	1.409440e+21	0.000000e+00	1.066640e+20	1.516104e+21	6.949238e-01	3.121390e+02	2.776018e+20	0.000000e+00	1.019001e+19	2.877918e+20	7.776737e+18	0.000000e+00	2.854628e+17	8.062200e+18	3.833769e-03	1.722015e+00	6.911305e+17	0.000000e+00	1.255729e+22	1.255798e+22	4.430146e+16	0.000000e+00	8.049222e+20	8.049665e+20	9.544732e-06	4.287208e-03	3.973845e+19	0.000000e+00	0.000000e+00	3.973845e+19	2.545883e+18	0.000000e+00	0.000000e+00	2.545883e+18	5.488006e-04	2.465048e-01	6.528761e+18	0.000000e+00	9.234712e+20	9.300000e+20	1.438743e+21	0.000000e+00	7.542165e+21	8.980908e+21	8.269949e+20	0.000000e+00	1.030051e+20	9.300000e+20	7.776737e+18	0.000000e+00	2.854628e+17	8.062200e+18	1.296172e+18	0.000000e+00	8.049222e+20	8.062184e+20	4.537823e-03	7.894560e-03	8.395244e-01	5.036955e+00	1.739724e+00	1.850060e+02	1.109994e+03	1.063421e+02	6.380286e+02	5.999771e+00
1.000000e+00	6.335439e+06	5.972000e+24	1.495979e+11	3.499849e+03	3.499849e+03	2.798065e+02	2.352883e+02	6.874005e+04	6.872812e+04	1.193050e+01	6.891350e+04	2.317178e+01	1.029863e+03	9.930493e+00	1.000000e+00	4.500000e-01	0.000000e+00	4.031100e+24	0.000000e+00	4.031100e+24	6.165788e+08	1.000000e+08	6.335439e+06	5.606619e+03	1.055787e-04	1.200531e-07	1.000000e+06	2.281392e+21	4.491722e+02	3.150690e-02	2.460478e+21	0.000000e+00	4.580711e+23	4.605316e+23	4.432620e+19	0.000000e+00	8.252279e+21	8.296606e+21	3.398015e-02	1.526294e+01	1.853513e+22	0.000000e+00	4.768175e+21	2.330331e+22	8.157313e+20	0.000000e+00	2.098474e+20	1.025579e+21	2.559773e-01	1.149779e+02	7.779214e+20	0.000000e+00	0.000000e+00	7.779214e+20	1.568196e+18	0.000000e+00	0.000000e+00	1.568196e+18	1.074339e-02	4.825634e+00	8.902336e+13	0.000000e+00	1.920480e+12	9.094384e+13	1.427935e+12	0.000000e+00	3.080450e+10	1.458739e+12	1.229447e-09	5.522333e-07	5.031771e+22	0.000000e+00	3.808001e+21	5.412571e+22	1.409399e+21	0.000000e+00	1.066621e+20	1.516061e+21	6.949070e-01	3.121329e+02	2.776017e+20	0.000000e+00	1.019010e+19	2.877918e+20	7.776734e+18	0.000000e+00	2.854654e+17	8.062200e+18	3.833787e-03	1.722030e+00	6.911357e+17	0.000000e+00	1.255729e+22	1.255798e+22	4.430180e+16	0.000000e+00	8.049223e+20	8.049666e+20	9.544850e-06	4.287281e-03	3.973642e+19	0.000000e+00	0.000000e+00	3.973642e+19	2.545753e+18	0.000000e+00	0.000000e+00	2.545753e+18	5.487753e-04	2.464946e-01	6.528614e+18	0.000000e+00	9.234714e+20	9.300000e+20	1.438757e+21	0.000000e+00	7.542176e+21	8.980933e+21	8.269915e+20	0.000000e+00	1.030085e+20	9.300000e+20	7.776734e+18	0.000000e+00	2.854654e+17	8.062200e+18	1.296107e+18	0.000000e+00	8.049223e+20	8.062184e+20	4.537677e-03	7.894414e-03	8.395058e-01	5.037093e+00	1.739748e+00	1.850079e+02	1.110060e+03	1.063417e+02	6.380579e+02	6.000070e+00
2.000000e+00	6.335439e+06	5.972000e+24	1.495979e+11	3.499697e+03	3.499697e+03	2.798065e+02	2.352883e+02	6.872812e+04	6.871620e+04	1.192688e+01	6.890157e+04	2.317178e+01	1.029863e+03	9.930493e+00	1.000000e+00	4.500000e-01	0.000000e+00	4.031100e+24	0.000000e+00	4.031100e+24	6.165788e+08	1.000000e+08	6.335439e+06	5.606619e+03	1.055787e-04	1.200323e-07	1.000000e+06	2.281402e+21	4.491742e+02	3.150720e-02	2.460456e+21	0.000000e+00	4.580712e+23	4.605316e+23	4.432580e+19	0.000000e+00	8.252281e+21	8.296606e+21	3.398001e-02	1.526294e+01	1.853632e+22	0.000000e+00	4.768519e+21	2.330484e+22	8.157834e+20	0.000000e+00	2.098625e+20	1.025646e+21	2.559950e-01	1.149863e+02	7.778711e+20	0.000000e+00	0.000000e+00	7.778711e+20	1.568095e+18	0.000000e+00	0.000000e+00	1.568095e+18	1.074275e-02	4.825367e+00	8.903475e+13	0.000000e+00	1.920744e+12	9.095549e+13	1.428117e+12	0.000000e+00	3.080873e+10	1.458926e+12	1.229610e-09	5.523092e-07	5.031625e+22	0.000000e+00	3.807935e+21	5.412418e+22	1.409358e+21	0.000000e+00	1.066603e+20	1.516018e+21	6.948902e-01	3.121268e+02	2.776016e+20	0.000000e+00	1.019019e+19	2.877918e+20	7.776732e+18	0.000000e+00	2.854681e+17	8.062200e+18	3.833804e-03	1.722046e+00	6.911409e+17	0.000000e+00	1.255729e+22	1.255798e+22	4.430213e+16	0.000000e+00	8.049223e+20	8.049666e+20	9.544969e-06	4.287354e-03	3.973439e+19	0.000000e+00	0.000000e+00	3.973439e+19	2.545623e+18	0.000000e+00	0.000000e+00	2.545623e+18	5.487499e-04	2.464843e-01	6.528467e+18	0.000000e+00	9.234715e+20	9.300000e+20	1.438771e+21	0.000000e+00	7.542187e+21	8.980958e+21	8.269882e+20	0.000000e+00	1.030118e+20	9.300000e+20	7.776732e+18	0.000000e+00	2.854681e+17	8.062200e+18	1.296043e+18	0.000000e+00	8.049223e+20	8.062184e+20	4.537530e-03	7.894269e-03	8.394872e-01	5.037232e+00	1.739772e+00	1.850097e+02	1.110126e+03	1.063414e+02	6.380872e+02	6.000368e+00
1.120000e+02	6.335439e+06	5.972000e+24	1.495979e+11	3.483042e+03	3.483042e+03	2.798065e+02	2.352883e+02	6.871620e+04	6.741388e+04	1.302311e+03	6.759926e+04	2.317178e+01	1.029863e+03	9.930493e+00	1.000000e+00	4.500000e-01	0.000000e+00	4.031100e+24	0.000000e+00	4.031100e+24	6.165788e+08	1.000001e+08	6.335439e+06	5.606619e+03	1.055787e-04	1.177643e-07	1.000000e+06	2.282561e+21	4.494016e+02	3.154026e-02	2.457960e+21	0.000000e+00	4.580786e+23	4.605366e+23	4.428084e+19	0.000000e+00	8.252415e+21	8.296695e+21	3.396392e-02	1.526344e+01	1.866727e+22	0.000000e+00	4.806677e+21	2.347394e+22	8.215464e+20	0.000000e+00	2.115418e+20	1.033088e+21	2.579430e-01	1.159200e+02	7.723375e+20	0.000000e+00	0.000000e+00	7.723375e+20	1.556940e+18	0.000000e+00	0.000000e+00	1.556940e+18	1.067210e-02	4.796061e+00	9.030443e+13	0.000000e+00	1.950176e+12	9.225461e+13	1.448483e+12	0.000000e+00	3.128083e+10	1.479764e+12	1.247820e-09	5.607724e-07	5.015439e+22	0.000000e+00	3.800591e+21	5.395498e+22	1.404824e+21	0.000000e+00	1.064545e+20	1.511279e+21	6.930298e-01	3.114487e+02	2.775908e+20	0.000000e+00	1.020062e+19	2.877914e+20	7.776429e+18	0.000000e+00	2.857601e+17	8.062189e+18	3.835730e-03	1.723783e+00	6.917000e+17	0.000000e+00	1.255739e+22	1.255808e+22	4.433797e+16	0.000000e+00	8.049285e+20	8.049728e+20	9.557862e-06	4.295318e-03	3.950997e+19	0.000000e+00	0.000000e+00	3.950997e+19	2.531246e+18	0.000000e+00	0.000000e+00	2.531246e+18	5.459460e-04	2.453490e-01	6.512280e+18	0.000000e+00	9.234865e+20	9.299988e+20	1.440324e+21	0.000000e+00	7.543409e+21	8.983734e+21	8.266169e+20	0.000000e+00	1.033819e+20	9.299988e+20	7.776429e+18	0.000000e+00	2.857601e+17	8.062189e+18	1.288866e+18	0.000000e+00	8.049285e+20	8.062173e+20	4.521398e-03	7.878233e-03	8.374383e-01	5.052723e+00	1.742433e+00	1.852167e+02	1.117513e+03	1.062977e+02	6.413523e+02	6.033546e+00
2.330000e+02	6.335439e+06	5.972000e+24	1.495979e+11	3.465068e+03	3.465068e+03	2.798065e+02	2.352883e+02	6.741388e+04	6.602930e+04	1.384588e+03	6.621467e+04	2.317178e+01	1.029863e+03	9.930493e+00	1.000000e+00	4.500000e-01	0.000000e+00	4.031100e+24	0.000000e+00	4.031100e+24	6.165788e+08	1.000002e+08	6.335439e+06	5.606619e+03	1.055787e-04	1.153531e-07	1.000000e+06	2.283824e+21	4.496496e+02	3.157637e-02	2.455239e+21	0.000000e+00	4.580866e+23	4.605419e+23	4.423183e+19	0.000000e+00	8.252559e+21	8.296791e+21	3.394637e-02	1.526397e+01	1.881021e+22	0.000000e+00	4.848398e+21	2.365861e+22	8.278375e+20	0.000000e+00	2.133780e+20	1.041215e+21	2.600718e-01	1.169412e+02	7.663701e+20	0.000000e+00	0.000000e+00	7.663701e+20	1.544910e+18	0.000000e+00	0.000000e+00	1.544910e+18	1.059590e-02	4.764445e+00	9.171446e+13	0.000000e+00	1.982891e+12	9.369735e+13	1.471100e+12	0.000000e+00	3.180557e+10	1.502906e+12	1.268053e-09	5.701794e-07	4.997765e+22	0.000000e+00	3.792544e+21	5.377020e+22	1.399874e+21	0.000000e+00	1.062292e+20	1.506103e+21	6.909957e-01	3.107060e+02	2.775790e+20	0.000000e+00	1.021200e+19	2.877910e+20	7.776099e+18	0.000000e+00	2.860789e+17	8.062178e+18	3.837833e-03	1.725680e+00	6.922728e+17	0.000000e+00	1.255749e+22	1.255818e+22	4.437468e+16	0.000000e+00	8.049352e+20	8.049795e+20	9.571428e-06	4.303789e-03	3.926470e+19	0.000000e+00	0.000000e+00	3.926470e+19	2.515532e+18	0.000000e+00	0.000000e+00	2.515532e+18	5.428774e-04	2.441046e-01	6.494765e+18	0.000000e+00	9.235027e+20	9.299974e+20	1.442019e+21	0.000000e+00	7.544744e+21	8.986764e+21	8.262111e+20	0.000000e+00	1.037864e+20	9.299974e+20	7.776099e+18	0.000000e+00	2.860789e+17	8.062178e+18	1.281021e+18	0.000000e+00	8.049352e+20	8.062162e+20	4.503937e-03	7.860903e-03	8.352215e-01	5.069993e+00	1.745340e+00	1.854425e+02	1.125680e+03	1.062501e+02	6.449631e+02	6.070237e+00
3.661000e+02	6.335439e+06	5.972000e+24	1.495979e+11	3.445703e+03	3.445703e+03	2.798065e+02	2.352883e+02	6.602930e+04	6.456145e+04	1.467846e+03	6.474683e+04	2.317178e+01	1.029863e+03	9.930493e+00	1.000000e+00	4.500000e-01	0.000000e+00	4.031100e+24	0.000000e+00	4.031100e+24	6.165788e+08	1.000004e+08	6.335439e+06	5.606619e+03	1.055787e-04	1.127968e-07	1.000000e+06	2.285202e+21	4.499201e+02	3.161577e-02	2.452276e+21	0.000000e+00	4.580953e+23	4.605476e+23	4.417844e+19	0.000000e+00	8.252715e+21	8.296894e+21	3.392724e-02	1.526455e+01	1.896615e+22	0.000000e+00	4.893992e+21	2.386014e+22	8.347001e+20	0.000000e+00	2.153846e+20	1.050085e+21	2.623966e-01	1.180575e+02	7.599459e+20	0.000000e+00	0.000000e+00	7.599459e+20	1.531960e+18	0.000000e+00	0.000000e+00	1.531960e+18	1.051385e-02	4.730394e+00	9.328173e+13	0.000000e+00	2.019289e+12	9.530102e+13	1.496239e+12	0.000000e+00	3.238939e+10	1.528628e+12	1.290553e-09	5.806457e-07	4.978482e+22	0.000000e+00	3.783732e+21	5.356855e+22	1.394473e+21	0.000000e+00	1.059823e+20	1.500455e+21	6.887730e-01	3.098929e+02	2.775662e+20	0.000000e+00	1.022442e+19	2.877906e+20	7.775738e+18	0.000000e+00	2.864269e+17	8.062165e+18	3.840128e-03	1.727751e+00	6.928535e+17	0.000000e+00	1.255760e+22	1.255830e+22	4.441191e+16	0.000000e+00	8.049425e+20	8.049869e+20	9.585629e-06	4.312768e-03	3.899686e+19	0.000000e+00	0.000000e+00	3.899686e+19	2.498373e+18	0.000000e+00	0.000000e+00	2.498373e+18	5.395216e-04	2.427417e-01	6.475840e+18	0.000000e+00	9.235201e+20	9.299960e+20	1.443868e+21	0.000000e+00	7.546201e+21	8.990069e+21	8.257678e+20	0.000000e+00	1.042281e+20	9.299960e+20	7.775738e+18	0.000000e+00	2.864269e+17	8.062165e+18	1.272452e+18	0.000000e+00	8.049425e+20	8.062149e+20	4.485064e-03	7.842204e-03	8.328264e-01	5.089259e+00	1.748515e+00	1.856888e+02	1.134713e+03	1.061980e+02	6.489578e+02	6.110829e+00
5.125100e+02	6.335439e+06	5.972000e+24	1.495979e+11	3.424875e+03	3.424875e+03	2.798065e+02	2.352883e+02	6.456145e+04	6.301010e+04	1.551353e+03	6.319547e+04	2.317178e+01	1.029863e+03	9.930493e+00	1.000000e+00	4.500000e-01	0.000000e+00	4.031100e+24	0.000000e+00	4.031100e+24	6.165788e+08	1.000005e+08	6.335439e+06	5.606619e+03	1.055787e-04	1.100951e-07	1.000000e+06	2.286702e+21	4.502148e+02	3.165874e-02	2.449051e+21	0.000000e+00	4.581046e+23	4.605537e+23	4.412034e+19	0.000000e+00	8.252883e+21	8.297004e+21	3.390642e-02	1.526517e+01	1.913612e+22	0.000000e+00	4.943788e+21	2.407990e+22	8.421805e+20	0.000000e+00	2.175761e+20	1.059757e+21	2.649341e-01	1.192773e+02	7.530423e+20	0.000000e+00	0.000000e+00	7.530423e+20	1.518043e+18	0.000000e+00	0.000000e+00	1.518043e+18	1.042566e-02	4.693785e+00	9.502543e+13	0.000000e+00	2.059828e+12	9.708526e+13	1.524208e+12	0.000000e+00	3.303964e+10	1.557248e+12	1.315600e-09	5.923026e-07	4.957456e+22	0.000000e+00	3.774086e+21	5.334865e+22	1.388584e+21	0.000000e+00	1.057121e+20	1.494296e+21	6.863457e-01	3.090030e+02	2.775521e+20	0.000000e+00	1.023797e+19	2.877901e+20	7.775345e+18	0.000000e+00	2.868065e+17	8.062151e+18	3.842630e-03	1.730009e+00	6.934349e+17	0.000000e+00	1.255773e+22	1.255842e+22	4.444918e+16	0.000000e+00	8.049504e+20	8.049949e+20	9.600409e-06	4.322246e-03	3.870463e+19	0.000000e+00	0.000000e+00	3.870463e+19	2.479651e+18	0.000000e+00	0.000000e+00	2.479651e+18	5.358546e-04	2.412497e-01	6.455421e+18	0.000000e+00	9.235390e+20	9.299944e+20	1.445882e+21	0.000000e+00	7.547789e+21	8.993671e+21	8.252840e+20	0.000000e+00	1.047104e+20	9.299944e+20	7.775345e+18	0.000000e+00	2.868065e+17	8.062151e+18	1.263102e+18	0.000000e+00	8.049504e+20	8.062135e+20	4.464695e-03	7.822060e-03	8.302424e-01	5.110767e+00	1.751981e+00	1.859573e+02	1.144707e+03	1.061411e+02	6.533787e+02	6.155753e+00
6.735610e+02	6.335439e+06	5.972000e+24	1.495979e+11	3.402514e+03	3.402514e+03	2.798065e+02	2.352883e+02	6.301010e+04	6.137582e+04	1.634275e+03	6.156120e+04	2.317178e+01	1.029863e+03	9.930493e+00	1.000000e+00	4.500000e-01	0.000000e+00	4.031100e+24	0.000000e+00	4.031100e+24	6.165788e+08	1.000007e+08	6.335439e+06	5.606619e+03	1.055787e-04	1.072491e-07	1.000000e+06	2.288334e+21	4.505356e+02	3.170556e-02	2.445545e+21	0.000000e+00	4.581147e+23	4.605602e+23	4.405718e+19	0.000000e+00	8.253064e+21	8.297121e+21	3.388376e-02	1.526584e+01	1.932124e+22	0.000000e+00	4.998138e+21	2.431938e+22	8.503278e+20	0.000000e+00	2.199680e+20	1.070296e+21	2.677016e-01	1.206091e+02	7.456378e+20	0.000000e+00	0.000000e+00	7.456378e+20	1.503116e+18	0.000000e+00	0.000000e+00	1.503116e+18	1.033104e-02	4.654499e+00	9.696745e+13	0.000000e+00	2.105030e+12	9.907248e+13	1.555358e+12	0.000000e+00	3.376468e+10	1.589123e+12	1.343513e-09	6.053005e-07	4.934550e+22	0.000000e+00	3.763531e+21	5.310903e+22	1.382167e+21	0.000000e+00	1.054165e+20	1.487584e+21	6.836968e-01	3.080297e+02	2.775368e+20	0.000000e+00	1.025273e+19	2.877895e+20	7.774916e+18	0.000000e+00	2.872201e+17	8.062136e+18	3.845356e-03	1.732470e+00	6.940079e+17	0.000000e+00	1.255786e+22	1.255856e+22	4.448591e+16	0.000000e+00	8.049591e+20	8.050036e+20	9.615689e-06	4.332210e-03	3.838611e+19	0.000000e+00	0.000000e+00	3.838611e+19	2.459244e+18	0.000000e+00	0.000000e+00	2.459244e+18	5.318511e-04	2.396178e-01	6.433425e+18	0.000000e+00	9.235592e+20	9.299926e+20	1.448074e+21	0.000000e+00	7.549520e+21	8.997594e+21	8.247562e+20	0.000000e+00	1.052364e+20	9.299926e+20	7.774916e+18	0.000000e+00	2.872201e+17	8.062136e+18	1.252908e+18	0.000000e+00	8.049591e+20	8.062120e+20	4.442745e-03	7.800396e-03	8.274591e-01	5.134793e+00	1.755760e+00	1.862495e+02	1.155770e+03	1.060791e+02	6.582733e+02	6.205494e+00
