age,lum
4.931477e-04,5.495409e+00
5.006532e-04,5.432503e+00
5.160134e-04,5.321083e+00
5.238766e-04,5.272299e+00
5.399804e-04,5.164164e+00
5.566023e-04,5.046613e+00
5.651087e-04,5.000345e+00
5.825363e-04,4.897788e+00
5.914554e-04,4.841724e+00
6.097278e-04,4.742420e+00
6.190803e-04,4.688134e+00
6.382400e-04,4.591980e+00
6.480477e-04,4.539416e+00
6.681393e-04,4.446313e+00
6.784299e-04,4.395416e+00
6.995053e-04,4.305266e+00
7.103036e-04,4.255984e+00
7.324197e-04,4.168694e+00
7.437552e-04,4.120975e+00
7.669746e-04,4.036454e+00
7.788790e-04,3.990249e+00
8.032690e-04,3.908409e+00
8.157724e-04,3.863670e+00
8.414068e-04,3.775722e+00
8.545451e-04,3.741106e+00
8.815054e-04,3.655948e+00
8.953235e-04,3.614099e+00
9.236810e-04,3.539973e+00
9.382185e-04,3.499452e+00
9.530112e-04,3.459394e+00
9.833656e-04,3.388442e+00
9.989414e-04,3.349654e+00
1.030901e-03,3.273407e+00
1.047309e-03,3.235937e+00
1.080991e-03,3.169567e+00
1.098280e-03,3.133286e+00
1.133791e-03,3.061963e+00
1.152020e-03,3.026913e+00
1.189480e-03,2.958012e+00
1.208729e-03,2.930893e+00
1.228321e-03,2.897344e+00
1.268589e-03,2.831392e+00
1.289291e-03,2.798981e+00
1.331389e-03,2.741574e+00
1.350579e-03,2.710192e+00
1.384650e-03,2.666859e+00
1.414370e-03,2.630268e+00
1.454601e-03,2.576321e+00
1.481921e-03,2.546830e+00
1.510139e-03,2.511886e+00
1.551819e-03,2.466039e+00
1.595280e-03,2.421029e+00
1.624232e-03,2.393316e+00
1.666038e-03,2.355049e+00
1.698181e-03,2.322737e+00
1.735330e-03,2.290868e+00
1.776201e-03,2.254239e+00
1.815858e-03,2.223310e+00
1.859298e-03,2.187762e+00
1.901809e-03,2.157744e+00
1.961571e-03,2.118361e+00
2.022232e-03,2.074914e+00
2.054949e-03,2.055891e+00
2.088070e-03,2.037042e+00
2.155510e-03,1.995262e+00
2.189828e-03,1.976970e+00
2.259722e-03,1.940886e+00
2.295282e-03,1.923092e+00
2.367669e-03,1.887991e+00
2.404512e-03,1.870682e+00
2.479488e-03,1.836538e+00
2.517642e-03,1.819701e+00
2.595273e-03,1.790606e+00
2.634741e-03,1.774189e+00
2.715020e-03,1.745822e+00
2.755821e-03,1.733804e+00
2.838762e-03,1.706082e+00
2.880892e-03,1.694338e+00
2.966491e-03,1.667247e+00
3.053852e-03,1.644372e+00
3.098190e-03,1.633052e+00
3.188218e-03,1.606941e+00
3.233903e-03,1.599558e+00
