age,lum
4.935760e-04,2.269865e+00
5.012415e-04,2.243882e+00
5.169755e-04,2.192805e+00
5.250456e-04,2.167704e+00
5.416117e-04,2.118361e+00
5.501080e-04,2.094112e+00
5.675485e-04,2.046445e+00
5.764943e-04,2.023019e+00
5.948494e-04,1.976970e+00
6.042686e-04,1.954339e+00
6.235912e-04,1.909853e+00
6.335049e-04,1.887991e+00
6.538423e-04,1.840772e+00
6.642767e-04,1.819701e+00
6.748885e-04,1.798871e+00
6.966666e-04,1.757924e+00
7.078366e-04,1.737801e+00
7.307604e-04,1.698244e+00
7.425197e-04,1.678804e+00
7.666533e-04,1.640590e+00
7.790315e-04,1.621810e+00
8.044406e-04,1.584893e+00
8.174741e-04,1.563148e+00
8.307398e-04,1.545254e+00
8.579520e-04,1.510080e+00
8.719227e-04,1.492794e+00
9.005835e-04,1.458814e+00
9.152927e-04,1.442115e+00
9.454792e-04,1.409289e+00
9.609682e-04,1.393157e+00
9.767311e-04,1.374042e+00
1.009069e-03,1.342765e+00
1.025671e-03,1.327394e+00
1.059720e-03,1.297179e+00
1.077189e-03,1.282331e+00
1.094959e-03,1.267652e+00
1.131431e-03,1.238797e+00
1.150130e-03,1.224616e+00
1.188499e-03,1.193988e+00
1.208181e-03,1.180321e+00
1.228191e-03,1.166810e+00
1.269241e-03,1.140250e+00
1.290289e-03,1.127197e+00
1.333460e-03,1.101539e+00
1.355601e-03,1.086426e+00
1.378110e-03,1.073989e+00
1.424279e-03,1.049542e+00
1.447941e-03,1.037528e+00
1.496460e-03,1.013911e+00
1.521328e-03,1.002305e+00
1.546621e-03,9.885531e-01
1.598468e-03,9.660509e-01
1.625040e-03,9.549926e-01
1.679539e-03,9.332543e-01
1.707470e-03,9.204496e-01
1.735869e-03,9.099133e-01
1.794118e-03,8.892011e-01
1.823980e-03,8.790225e-01
1.885211e-03,8.570378e-01
1.916620e-03,8.472274e-01
1.948561e-03,8.375293e-01
2.014072e-03,8.165824e-01
2.047670e-03,8.072350e-01
2.116601e-03,7.888601e-01
2.151959e-03,7.798301e-01
2.187928e-03,7.691304e-01
2.261752e-03,7.516229e-01
2.299620e-03,7.430191e-01
2.377360e-03,7.244360e-01
2.417252e-03,7.161434e-01
2.457859e-03,7.079458e-01
2.541201e-03,6.902398e-01
2.579699e-03,6.823387e-01
2.646702e-03,6.698846e-01
2.703952e-03,6.591739e-01
2.754121e-03,6.501297e-01
2.820279e-03,6.397348e-01
2.883759e-03,6.295062e-01
2.945988e-03,6.194411e-01
3.028001e-03,6.067363e-01
3.087849e-03,5.984116e-01
3.168451e-03,5.874894e-01
3.228732e-03,5.794287e-01
3.308392e-03,5.688529e-01
3.384091e-03,5.597576e-01
3.474858e-03,5.495409e-01
3.546574e-03,5.420009e-01
3.633407e-03,5.321083e-01
3.719726e-03,5.236004e-01
3.806458e-03,5.152286e-01
3.890747e-03,5.069907e-01
3.972730e-03,5.000345e-01
4.081652e-03,4.909079e-01
4.163111e-03,4.841724e-01
4.303878e-03,4.731513e-01
4.370710e-03,4.677351e-01
4.523473e-03,4.570882e-01
4.601993e-03,4.518559e-01
4.681920e-03,4.466836e-01
4.846219e-03,4.355119e-01
4.930637e-03,4.305266e-01
5.016629e-03,4.255984e-01
5.193462e-03,4.159106e-01
5.284380e-03,4.102041e-01
5.377049e-03,4.055085e-01
5.567651e-03,3.962780e-01
5.665745e-03,3.917419e-01
5.765726e-03,3.863670e-01
5.971604e-03,3.775722e-01
6.077640e-03,3.732502e-01
6.185773e-03,3.689776e-01
6.296077e-03,3.647539e-01
6.523490e-03,3.556313e-01
6.640702e-03,3.515604e-01
6.760347e-03,3.475362e-01
7.005756e-03,3.396253e-01
7.131075e-03,3.357376e-01
7.258134e-03,3.311311e-01
7.517596e-03,3.243396e-01
7.649992e-03,3.206269e-01
7.784200e-03,3.169567e-01
8.058051e-03,3.097419e-01
8.197737e-03,3.069022e-01
8.339269e-03,3.033891e-01
8.627878e-03,2.971666e-01
8.775018e-03,2.937650e-01
8.924030e-03,2.910717e-01
9.227733e-03,2.851018e-01
9.382466e-03,2.824880e-01
9.539113e-03,2.792544e-01
9.858209e-03,2.741574e-01
1.002070e-02,2.716439e-01
1.035140e-02,2.666859e-01
1.051969e-02,2.642409e-01
1.069001e-02,2.618183e-01
1.103649e-02,2.576321e-01
1.121280e-02,2.552701e-01
1.157119e-02,2.511886e-01
1.175341e-02,2.488857e-01
1.212381e-02,2.449063e-01
1.231210e-02,2.432204e-01
1.269451e-02,2.393316e-01
1.288879e-02,2.376840e-01
1.328330e-02,2.344229e-01
1.348360e-02,2.328091e-01
1.389009e-02,2.296149e-01
1.409639e-02,2.280342e-01
1.451490e-02,2.254239e-01
1.494149e-02,2.228435e-01
1.515769e-02,2.213095e-01
1.559632e-02,2.187762e-01
1.581849e-02,2.177710e-01
1.626901e-02,2.157744e-01
1.672738e-02,2.133045e-01
1.695950e-02,2.128139e-01
1.742950e-02,2.108628e-01
1.790730e-02,2.089296e-01
1.839281e-02,2.074914e-01
1.863842e-02,2.070141e-01
1.913529e-02,2.055891e-01
1.963998e-02,2.046445e-01
2.015218e-02,2.037042e-01
2.041122e-02,2.032357e-01
2.093462e-02,2.027683e-01
2.146520e-02,2.023019e-01
2.200280e-02,2.018366e-01
2.254758e-02,2.018366e-01
2.309958e-02,2.018366e-01
2.365882e-02,2.023019e-01
2.394109e-02,2.023019e-01
2.451111e-02,2.027683e-01
2.508829e-02,2.032357e-01
2.567290e-02,2.037042e-01
2.626437e-02,2.051162e-01
2.686260e-02,2.065380e-01
2.777250e-02,2.089296e-01
2.838749e-02,2.108628e-01
2.900948e-02,2.128139e-01
2.963869e-02,2.147830e-01
3.027513e-02,2.177710e-01
3.091883e-02,2.202926e-01
3.157003e-02,2.233572e-01
3.256147e-02,2.280342e-01
3.323258e-02,2.312065e-01
3.391189e-02,2.344229e-01
3.459943e-02,2.382319e-01
3.564577e-02,2.437811e-01
3.634863e-02,2.477422e-01
3.739762e-02,2.540973e-01
3.809430e-02,2.582260e-01
3.913731e-02,2.642409e-01
3.983419e-02,2.691535e-01
4.088227e-02,2.760578e-01
4.193899e-02,2.831392e-01
4.264744e-02,2.877398e-01
4.371878e-02,2.944422e-01
4.481279e-02,3.013006e-01
4.592636e-02,3.069022e-01
4.675499e-02,3.111716e-01
4.794243e-02,3.162278e-01
4.913116e-02,3.198895e-01
5.031355e-02,3.221069e-01
5.149891e-02,3.221069e-01
5.269726e-02,3.191538e-01
5.391977e-02,3.140509e-01
5.517826e-02,3.069022e-01
5.648446e-02,2.971666e-01
5.784889e-02,2.870781e-01
5.879495e-02,2.798981e-01
6.055862e-02,2.679168e-01
6.240063e-02,2.588213e-01
6.360628e-02,2.540973e-01
6.505295e-02,2.500345e-01
6.678916e-02,2.466039e-01
6.887252e-02,2.443431e-01
7.137268e-02,2.432204e-01
7.437261e-02,2.426610e-01
7.797278e-02,2.426610e-01
8.229264e-02,2.432204e-01
8.747682e-02,2.432204e-01
9.369772e-02,2.432204e-01
1.011631e-01,2.437811e-01
1.101210e-01,2.437811e-01
1.208701e-01,2.443431e-01
1.337701e-01,2.443431e-01
1.492499e-01,2.449063e-01
1.678251e-01,2.454709e-01
1.901161e-01,2.460368e-01
2.168638e-01,2.460368e-01
2.485519e-01,2.466039e-01
2.802412e-01,2.466039e-01
3.119292e-01,2.471724e-01
3.436173e-01,2.471724e-01
3.753047e-01,2.477422e-01
4.069931e-01,2.477422e-01
4.386812e-01,2.477422e-01
4.703693e-01,2.483133e-01
5.020570e-01,2.483133e-01
5.337452e-01,2.483133e-01
5.654328e-01,2.488857e-01
5.971205e-01,2.488857e-01
6.288094e-01,2.494595e-01
6.604987e-01,2.494595e-01
6.921863e-01,2.500345e-01
7.238740e-01,2.500345e-01
7.555618e-01,2.500345e-01
7.872506e-01,2.506109e-01
8.189380e-01,2.506109e-01
8.506267e-01,2.511886e-01
8.823137e-01,2.511886e-01
9.140017e-01,2.511886e-01
9.456904e-01,2.517677e-01
9.773790e-01,2.517677e-01
1.009069e+00,2.523481e-01
1.040749e+00,2.523481e-01
1.072440e+00,2.529298e-01
1.104129e+00,2.529298e-01
1.135821e+00,2.529298e-01
1.167511e+00,2.535129e-01
1.199201e+00,2.535129e-01
1.230881e+00,2.540973e-01
1.262569e+00,2.540973e-01
1.294261e+00,2.540973e-01
1.325950e+00,2.546830e-01
1.357641e+00,2.546830e-01
1.389319e+00,2.552701e-01
1.421010e+00,2.552701e-01
1.452700e+00,2.552701e-01
1.484390e+00,2.558586e-01
1.516080e+00,2.558586e-01
1.547761e+00,2.564484e-01
1.579450e+00,2.564484e-01
1.611139e+00,2.570396e-01
1.642831e+00,2.570396e-01
1.674519e+00,2.570396e-01
1.706200e+00,2.576321e-01
1.737889e+00,2.576321e-01
1.769579e+00,2.582260e-01
1.801271e+00,2.582260e-01
1.832960e+00,2.582260e-01
1.864640e+00,2.588213e-01
1.896330e+00,2.588213e-01
1.928022e+00,2.594179e-01
1.959711e+00,2.594179e-01
1.991402e+00,2.594179e-01
2.023089e+00,2.600160e-01
2.054769e+00,2.600160e-01
2.086460e+00,2.606154e-01
2.118151e+00,2.606154e-01
2.149839e+00,2.606154e-01
2.181529e+00,2.612161e-01
2.213212e+00,2.612161e-01
2.244900e+00,2.618183e-01
2.276591e+00,2.618183e-01
2.308277e+00,2.618183e-01
2.339968e+00,2.624219e-01
2.371652e+00,2.624219e-01
2.403339e+00,2.630268e-01
2.435028e+00,2.630268e-01
2.466721e+00,2.630268e-01
2.498412e+00,2.636331e-01
2.530090e+00,2.636331e-01
2.561781e+00,2.642409e-01
2.593469e+00,2.642409e-01
2.625161e+00,2.648500e-01
2.656850e+00,2.648500e-01
2.688543e+00,2.648500e-01
2.720220e+00,2.654606e-01
2.751909e+00,2.654606e-01
2.783601e+00,2.660725e-01
2.815289e+00,2.660725e-01
2.846977e+00,2.660725e-01
2.878658e+00,2.666859e-01
2.910349e+00,2.666859e-01
2.942043e+00,2.673006e-01
2.973733e+00,2.673006e-01
3.005419e+00,2.673006e-01
3.037099e+00,2.679168e-01
3.068789e+00,2.679168e-01
3.100480e+00,2.685344e-01
3.132168e+00,2.685344e-01
3.163858e+00,2.691535e-01
3.195538e+00,2.691535e-01
3.227231e+00,2.691535e-01
3.258922e+00,2.697739e-01
3.290607e+00,2.697739e-01
3.322301e+00,2.703958e-01
3.353992e+00,2.703958e-01
3.385673e+00,2.703958e-01
3.417362e+00,2.710192e-01
3.449046e+00,2.710192e-01
3.480743e+00,2.716439e-01
3.512433e+00,2.716439e-01
3.544108e+00,2.716439e-01
3.575798e+00,2.722701e-01
3.607489e+00,2.722701e-01
3.639184e+00,2.728978e-01
3.670870e+00,2.728978e-01
3.702551e+00,2.728978e-01
3.734238e+00,2.735269e-01
3.765928e+00,2.735269e-01
3.797624e+00,2.741574e-01
3.829314e+00,2.741574e-01
3.860993e+00,2.747894e-01
3.892683e+00,2.747894e-01
3.924370e+00,2.747894e-01
3.956061e+00,2.754229e-01
3.987751e+00,2.754229e-01
4.019426e+00,2.760578e-01
4.051119e+00,2.760578e-01
4.082808e+00,2.766942e-01
4.114499e+00,2.766942e-01
4.146188e+00,2.766942e-01
4.177880e+00,2.773320e-01
4.209563e+00,2.773320e-01
4.241251e+00,2.779713e-01
4.272942e+00,2.779713e-01
4.304632e+00,2.779713e-01
4.336317e+00,2.786121e-01
4.368004e+00,2.786121e-01
4.399689e+00,2.792544e-01
4.431380e+00,2.792544e-01
4.463073e+00,2.798981e-01
4.494765e+00,2.798981e-01
4.526442e+00,2.798981e-01
4.558133e+00,2.805434e-01
4.589824e+00,2.805434e-01
4.621511e+00,2.811901e-01
4.653203e+00,2.811901e-01
4.684875e+00,2.818383e-01
4.716567e+00,2.818383e-01
4.748255e+00,2.818383e-01
4.779946e+00,2.824880e-01
4.811639e+00,2.824880e-01
4.843329e+00,2.831392e-01
4.875015e+00,2.831392e-01
4.906706e+00,2.837919e-01
4.938386e+00,2.837919e-01
4.970076e+00,2.837919e-01
5.001773e+00,2.844461e-01
5.033453e+00,2.844461e-01
