contrast_ratio,M_planet,R_int,transit_depth
7.898984e-10,1.503947e+25,9123369.0,0.0001719754
4.536403e-10,7.570636e+24,6965158.0,0.0001002347
5.058286e-10,1.130263e+25,7379849.0,0.0001125255
5.132606e-10,1.26571e+25,7447460.0,0.0001145968
5.651309e-10,1.18666e+25,7777020.0,0.0001249633
4.412996e-10,9.693654e+24,6905285.0,9.851882e-05
5.023217e-10,1.54514e+25,7410014.0,0.0001134473
3.962155e-10,8.172364e+24,6545514.0,8.852043e-05
5.662919e-10,1.330769e+25,7802100.0,0.0001257706
8.610322e-10,1.771424e+25,9522183.0,0.0001873394
5.747365e-10,1.786206e+25,7910808.0,0.0001292997
1.671905e-10,2.993145e+24,4284864.0,3.793413e-05
6.018196e-10,1.007748e+25,7986485.0,0.0001317854
5.223219e-10,1.637765e+25,7555281.0,0.000117939
8.550045e-10,1.694373e+25,9483757.0,0.0001858304
5.505246e-10,1.572132e+25,7730841.0,0.0001234837
7.844061e-10,1.516094e+25,9095150.0,0.0001709132
5.242273e-10,1.646681e+25,7568973.0,0.0001183668
5.416896e-10,1.575568e+25,7674184.0,0.0001216804
5.083236e-10,1.57275e+25,7453910.0,0.0001147953
5.279517e-10,1.664155e+25,7595664.0,0.0001192031
