z_obs,R_int,M_planet,transit_depth,bond_albedo,contrast_ratio,index
0.0,6345655.0,5.982266e+24,8.319725e-05,0.0,4.154439e-10,0.0
0.0,6345655.0,5.982054e+24,8.319725e-05,0.02758248,4.045771e-10,0.026842105263157896
0.0,6345655.0,5.981836e+24,8.319725e-05,0.0567297,3.937104e-10,0.05368421052631579
0.0,6345655.0,5.981615e+24,8.319725e-05,0.08757871,3.828437e-10,0.0805263157894737
0.0,6345655.0,5.981395e+24,8.319725e-05,0.120283,3.71977e-10,0.10736842105263159
0.0,6345655.0,5.981181e+24,8.319725e-05,0.1550152,3.611102e-10,0.13421052631578947
0.0,6345655.0,5.980979e+24,8.319725e-05,0.1919699,3.502435e-10,0.1610526315789474
0.0,6345655.0,5.980797e+24,8.319725e-05,0.2313675,3.393768e-10,0.18789473684210528
0.0,6345655.0,5.980641e+24,8.319725e-05,0.2734584,3.285101e-10,0.21473684210526317
0.0,6345655.0,5.980515e+24,8.319725e-05,0.3185288,3.176434e-10,0.24157894736842106
0.0,6345655.0,5.980423e+24,8.319725e-05,0.3669065,3.067766e-10,0.26842105263157895
0.0,6345655.0,5.980362e+24,8.319725e-05,0.4189694,2.959099e-10,0.29526315789473684
0.0,6345655.0,5.980328e+24,8.319725e-05,0.4751553,2.850432e-10,0.3221052631578948
0.0,6345655.0,5.98032e+24,8.319725e-05,0.5359741,2.741765e-10,0.3489473684210527
0.0,6345655.0,5.98032e+24,8.319725e-05,0.6020236,2.633097e-10,0.37578947368421056
0.0,6345655.0,5.98032e+24,8.319725e-05,0.6740088,2.52443e-10,0.40263157894736845
0.0,6345655.0,5.98032e+24,8.319725e-05,0.7527675,2.415763e-10,0.42947368421052634
0.0,6345655.0,5.98032e+24,8.319725e-05,0.839303,2.307096e-10,0.45631578947368423
0.0,6345655.0,5.98032e+24,8.319725e-05,0.9348269,2.198429e-10,0.4831578947368421
0.0,6345655.0,5.98032e+24,8.319725e-05,1.040816,2.089761e-10,0.51
