z_obs,R_int,M_planet,transit_depth,bond_albedo,contrast_ratio
0.0,6704408.0,9.072811e+24,9.287031e-05,0.6788943,2.777934e-10
0.0,6689072.0,6.669996e+24,9.244592e-05,0.4868556,3.15613e-10
0.0,9352254.0,1.708371e+25,0.0001807127,0.9226425,4.952795e-10
0.0,6284460.0,4.923104e+24,8.160034e-05,0.3804368,2.996568e-10
0.0,8026037.0,1.720968e+25,0.0001330939,0.717122,3.88793e-10
0.0,8358165.0,1.340871e+25,0.0001443371,0.8915243,3.960278e-10
0.0,9348402.0,1.630277e+25,0.0001805638,0.77279,5.34921e-10
0.0,7129731.0,8.670171e+24,0.0001050273,0.2940232,4.096321e-10
0.0,9308637.0,1.653926e+25,0.000179031,0.3226906,6.96569e-10
0.0,7897190.0,1.06544e+25,0.000128855,0.1900979,5.489571e-10
