z_obs,R_int,M_planet,transit_depth,bond_albedo,contrast_ratio,index
0.0,6710981.0,5.982399e+24,9.305249e-05,0.1111111,4.221566e-10,0.3
0.0,6683459.0,5.982324e+24,9.229084e-05,0.1111111,4.18501e-10,0.33157894736842103
0.0,6650758.0,5.982236e+24,9.138991e-05,0.1111111,4.141788e-10,0.3631578947368421
0.0,6612665.0,5.982134e+24,9.034601e-05,0.1111111,4.091729e-10,0.39473684210526316
0.0,6569054.0,5.98202e+24,8.915828e-05,0.1111111,4.034803e-10,0.4263157894736842
0.0,6519889.0,5.981892e+24,8.782869e-05,0.1111111,3.971118e-10,0.4578947368421053
0.0,6465223.0,5.981753e+24,8.636207e-05,0.1111111,3.900916e-10,0.48947368421052634
0.0,6405197.0,5.981602e+24,8.476587e-05,0.1111111,3.824569e-10,0.5210526315789474
0.0,6340036.0,5.981441e+24,8.304996e-05,0.1111111,3.742564e-10,0.5526315789473685
0.0,6270036.0,5.981272e+24,8.122618e-05,0.1111111,3.655481e-10,0.5842105263157895
0.0,6195559.0,5.981096e+24,7.930799e-05,0.1111111,3.563976e-10,0.6157894736842107
0.0,6117017.0,5.980914e+24,7.730994e-05,0.1111111,3.468758e-10,0.6473684210526316
0.0,6034858.0,5.980725e+24,7.524717e-05,0.1111111,3.37056e-10,0.6789473684210527
0.0,5949563.0,5.980542e+24,7.313515e-05,0.1111111,3.270128e-10,0.7105263157894738
0.0,5861614.0,5.980355e+24,7.09889e-05,0.1111111,3.168185e-10,0.7421052631578948
0.0,5771506.0,5.98019e+24,6.88231e-05,0.1111111,3.065434e-10,0.773684210526316
0.0,5679707.0,5.980025e+24,6.665119e-05,0.1111111,2.962516e-10,0.8052631578947369
0.0,5586659.0,5.979808e+24,6.448524e-05,0.1111111,2.860009e-10,0.836842105263158
0.0,5492825.0,5.979639e+24,6.233723e-05,0.1111111,2.758475e-10,0.868421052631579
0.0,5398590.0,5.979467e+24,6.021666e-05,0.1111111,2.658363e-10,0.9
