# Spectrum of hd97658 (muscles) at 1 AU
# WL(nm)	Flux(ergs/cm**2/s/nm)
4.9279747e-01	1.2062769e-02 
5.9279747e-01	1.2062769e-02 
6.9279747e-01	2.0236266e-02 
7.9279747e-01	2.6901694e-02 
8.9279747e-01	1.8371213e-02 
9.9279747e-01	1.6768220e-02 
1.0927975e+00	2.5912253e-02 
1.1927975e+00	4.2745078e-02 
1.2927975e+00	1.0596690e-01 
1.3927975e+00	1.1227372e-01 
1.4927975e+00	7.1128962e-02 
1.5927975e+00	9.5199280e-02 
1.6927975e+00	2.6983180e-02 
1.7927975e+00	1.9825514e-02 
1.8927975e+00	5.1768892e-01 
1.9927975e+00	2.3153621e-02 
2.0927975e+00	9.7732531e-02 
2.1927975e+00	4.3323936e-01 
2.2927975e+00	2.6733441e-02 
2.3927975e+00	3.0549554e-02 
2.4927975e+00	1.7161038e-01 
2.5927975e+00	6.2289921e-02 
2.6927975e+00	8.2908080e-02 
2.7927975e+00	8.2677793e-02 
2.8927975e+00	5.9959476e-02 
2.9927975e+00	5.9959476e-02 
3.0927975e+00	5.9959476e-02 
3.1927975e+00	6.7670013e-02 
3.2927975e+00	5.9725946e-02 
3.3927975e+00	1.2231658e-01 
3.4927975e+00	3.9138078e-02 
3.5927975e+00	5.0207741e-02 
3.6927975e+00	6.4448817e-02 
3.7927975e+00	4.8160052e-02 
3.8927975e+00	5.6025754e-02 
3.9927975e+00	2.4082193e-02 
4.0927975e+00	4.7967387e-02 
4.1927975e+00	1.8921041e-02 
4.2927975e+00	2.6052289e-02 
4.3927975e+00	6.3116840e-02 
4.4927975e+00	1.7894215e-02 
4.5927975e+00	3.2440856e-02 
4.6927975e+00	1.4883280e-02 
4.7927975e+00	2.1259611e-02 
4.8927975e+00	2.5022574e-02 
4.9927975e+00	1.3527644e-02 
5.0927975e+00	1.5856368e-02 
5.1927975e+00	1.8759884e-02 
5.2927975e+00	1.2898195e-02 
5.3927975e+00	1.3483197e-02 
5.4927975e+00	1.4922727e-02 
5.5927975e+00	1.0626717e-02 
5.6927975e+00	1.0012618e-02 
5.7927975e+00	1.7305351e-02 
5.8927975e+00	8.5424618e-03 
5.9927975e+00	8.5829237e-03 
6.0927975e+00	9.5220523e-03 
6.1927975e+00	8.7257403e-03 
6.2927975e+00	1.7092302e-02 
6.3927975e+00	1.2289213e-02 
6.4927975e+00	7.4823432e-03 
6.5927975e+00	1.4067889e-02 
6.6927975e+00	8.7954734e-03 
6.7927975e+00	8.7924066e-03 
6.8927975e+00	6.9100670e-03 
6.9927975e+00	6.4724129e-03 
7.0927975e+00	6.6633440e-03 
7.1927975e+00	7.0980835e-03 
7.2927975e+00	6.5610487e-03 
7.3927975e+00	8.8867846e-03 
7.4927975e+00	7.4452300e-03 
7.5927975e+00	9.3391797e-03 
7.6927975e+00	5.6620143e-03 
