star.dummy.Teff,orbit.semimajoraxis
2500,0.0428133
2500,0.0545559
2500,0.0695193
2700,0.0885867
2700,0.112884
2700,0.143845
2900,0.0885867
2900,0.112884
2900,0.143845
3100,0.0885867
3100,0.112884
3100,0.143845
3300,0.183298
3300,0.233572
3300,0.297635
3500,0.183298
3500,0.233572
3500,0.297635
3700,0.233572
3700,0.297635
3700,0.379269
3900,0.233572
3900,0.297635
3900,0.379269
4100,0.297635
4100,0.379269
4100,0.483293
4300,0.297635
4300,0.379269
4300,0.483293
4500,0.483293
4500,0.615848
4500,0.78476
4700,0.483293
4700,0.615848
4700,0.78476
4900,0.615848
4900,0.78476
4900,1
5100,0.615848
5100,0.78476
5100,1
5300,0.615848
5300,0.78476
5300,1
5500,0.615848
5500,0.78476
5500,1
5700,0.78476
5700,1
5900,0.78476
5900,1
