P(dyn/cm2)	T(K)  
1.000E+02	1000.0
1.778E+02	1000.0
3.162E+02	1000.0
5.623E+02	1000.0
1.000E+03	1000.0
1.778E+03	1000.0
3.162E+03	1000.0
5.623E+03	1000.0
1.000E+04	1000.0
1.778E+04	1000.0
3.162E+04	1000.0
5.623E+04	1000.0
1.000E+05	1000.0
1.778E+05	1000.0
3.162E+05	1000.0
5.623E+05	1000.0
1.000E+06	1000.0
1.778E+06	1000.0
3.162E+06	1000.0
5.623E+06	1000.0
1.000E+07	1000.0
1.778E+07	1000.0
3.162E+07	1000.0
5.623E+07	1000.0
1.000E+08	1000.0
1.000E+02	1100.0
1.778E+02	1100.0
3.162E+02	1100.0
5.623E+02	1100.0
1.000E+03	1100.0
1.778E+03	1100.0
3.162E+03	1100.0
5.623E+03	1100.0
1.000E+04	1100.0
1.778E+04	1100.0
3.162E+04	1100.0
5.623E+04	1100.0
1.000E+05	1100.0
1.778E+05	1100.0
3.162E+05	1100.0
5.623E+05	1100.0
1.000E+06	1100.0
1.778E+06	1100.0
3.162E+06	1100.0
5.623E+06	1100.0
1.000E+07	1100.0
1.778E+07	1100.0
3.162E+07	1100.0
5.623E+07	1100.0
1.000E+08	1100.0
1.000E+02	1200.0
1.778E+02	1200.0
3.162E+02	1200.0
5.623E+02	1200.0
1.000E+03	1200.0
1.778E+03	1200.0
3.162E+03	1200.0
5.623E+03	1200.0
1.000E+04	1200.0
1.778E+04	1200.0
3.162E+04	1200.0
5.623E+04	1200.0
1.000E+05	1200.0
1.778E+05	1200.0
3.162E+05	1200.0
5.623E+05	1200.0
1.000E+06	1200.0
1.778E+06	1200.0
3.162E+06	1200.0
5.623E+06	1200.0
1.000E+07	1200.0
1.778E+07	1200.0
3.162E+07	1200.0
5.623E+07	1200.0
1.000E+08	1200.0
1.000E+02	1300.0
1.778E+02	1300.0
3.162E+02	1300.0
5.623E+02	1300.0
1.000E+03	1300.0
1.778E+03	1300.0
3.162E+03	1300.0
5.623E+03	1300.0
1.000E+04	1300.0
1.778E+04	1300.0
3.162E+04	1300.0
5.623E+04	1300.0
1.000E+05	1300.0
1.778E+05	1300.0
3.162E+05	1300.0
5.623E+05	1300.0
1.000E+06	1300.0
1.778E+06	1300.0
3.162E+06	1300.0
5.623E+06	1300.0
1.000E+07	1300.0
1.778E+07	1300.0
3.162E+07	1300.0
5.623E+07	1300.0
1.000E+08	1300.0
1.000E+02	1400.0
1.778E+02	1400.0
3.162E+02	1400.0
5.623E+02	1400.0
1.000E+03	1400.0
1.778E+03	1400.0
3.162E+03	1400.0
5.623E+03	1400.0
1.000E+04	1400.0
1.778E+04	1400.0
3.162E+04	1400.0
5.623E+04	1400.0
1.000E+05	1400.0
1.778E+05	1400.0
3.162E+05	1400.0
5.623E+05	1400.0
1.000E+06	1400.0
1.778E+06	1400.0
3.162E+06	1400.0
5.623E+06	1400.0
1.000E+07	1400.0
1.778E+07	1400.0
3.162E+07	1400.0
5.623E+07	1400.0
1.000E+08	1400.0
1.000E+02	1500.0
1.778E+02	1500.0
3.162E+02	1500.0
5.623E+02	1500.0
1.000E+03	1500.0
1.778E+03	1500.0
3.162E+03	1500.0
5.623E+03	1500.0
1.000E+04	1500.0
1.778E+04	1500.0
3.162E+04	1500.0
5.623E+04	1500.0
1.000E+05	1500.0
1.778E+05	1500.0
3.162E+05	1500.0
5.623E+05	1500.0
1.000E+06	1500.0
1.778E+06	1500.0
3.162E+06	1500.0
5.623E+06	1500.0
1.000E+07	1500.0
1.778E+07	1500.0
3.162E+07	1500.0
5.623E+07	1500.0
1.000E+08	1500.0
1.000E+02	1600.0
1.778E+02	1600.0
3.162E+02	1600.0
5.623E+02	1600.0
1.000E+03	1600.0
1.778E+03	1600.0
3.162E+03	1600.0
5.623E+03	1600.0
1.000E+04	1600.0
1.778E+04	1600.0
3.162E+04	1600.0
5.623E+04	1600.0
1.000E+05	1600.0
1.778E+05	1600.0
3.162E+05	1600.0
5.623E+05	1600.0
1.000E+06	1600.0
1.778E+06	1600.0
3.162E+06	1600.0
5.623E+06	1600.0
1.000E+07	1600.0
1.778E+07	1600.0
3.162E+07	1600.0
5.623E+07	1600.0
1.000E+08	1600.0
1.000E+02	1700.0
1.778E+02	1700.0
3.162E+02	1700.0
5.623E+02	1700.0
1.000E+03	1700.0
1.778E+03	1700.0
3.162E+03	1700.0
5.623E+03	1700.0
1.000E+04	1700.0
1.778E+04	1700.0
3.162E+04	1700.0
5.623E+04	1700.0
1.000E+05	1700.0
1.778E+05	1700.0
3.162E+05	1700.0
5.623E+05	1700.0
1.000E+06	1700.0
1.778E+06	1700.0
3.162E+06	1700.0
5.623E+06	1700.0
1.000E+07	1700.0
1.778E+07	1700.0
3.162E+07	1700.0
5.623E+07	1700.0
1.000E+08	1700.0
1.000E+02	1800.0
1.778E+02	1800.0
3.162E+02	1800.0
5.623E+02	1800.0
1.000E+03	1800.0
1.778E+03	1800.0
3.162E+03	1800.0
5.623E+03	1800.0
